model,section,n_pages,coverage_pct,cer_strict_mean,cer_strict_median,cer_lenient_mean,pct_gt_0.3,pct_gt_1.0,source_runs
qwen3_vl_8b_heb_v16_step1100,rashi,65,1.0,0.1832,0.0143,0.1831,0.0923,0.0308,talmud-fill-gpt52-v17-v16step1100
qwen3_vl_8b_heb_v16_step1100,tosafot,63,1.0,0.308,0.0112,0.308,0.0952,0.0476,talmud-fill-gpt52-v17-v16step1100
qwen3_vl_8b_heb_v16_step600,gemara,65,1.0,0.0134,0.004,0.0134,0.0154,0.0,talmud-v16-step600
qwen3_vl_8b_heb_v16_step600,rashi,65,1.0,0.2255,0.0169,0.2255,0.1385,0.0615,talmud-v16-step600
qwen3_vl_8b_heb_v16_step600,tosafot,63,1.0,0.1257,0.0137,0.1257,0.127,0.0317,talmud-v16-step600
qwen3_vl_8b_heb_v17_step800,gemara,65,1.0,0.0142,0.0047,0.0142,0.0154,0.0,talmud-fill-gpt52-v17-v16step1100
qwen3_vl_8b_heb_v17_step800,rashi,65,1.0,0.0835,0.0147,0.0835,0.0769,0.0308,talmud-fill-gpt52-v17-v16step1100
qwen3_vl_8b_heb_v17_step800,tosafot,63,1.0,0.0368,0.012,0.0368,0.0159,0.0159,talmud-fill-gpt52-v17-v16step1100
vision_ocr_seg,gemara,65,1.0,0.0556,0.0334,0.0556,0.0154,0.0,talmud-vision-postcap2;talmud-vision-postcap3
vision_ocr_seg,rashi,65,1.0,0.7366,0.7441,0.736,1.0,0.0154,talmud-vision-postcap2;talmud-vision-postcap3
vision_ocr_seg,tosafot,63,1.0,0.706,0.7367,0.7059,0.9841,0.0159,talmud-vision-postcap2;talmud-vision-postcap3
